Object Tracking Data File Wed, Jan 15, 2020 11:20 AM
X (pixels)  	Y (pixels)  
564.49	424.79
561.82	427.99
559.56	429.49
558.02	430.68
556.71	431.32
554.49	431.63
552.06	433.07
549.26	435.06
547.25	434.85
544.52	433.02
542.71	431.87
538.27	431.18
534.32	429.71
533.12	428.45
534.21	428.07
532.78	428.05
534.99	426.97
535.41	424.49
532.58	425.33
532.11	424.01
532.26	424.38
529.46	421.96
527.90	421.81
454.09	349.09
492.66	381.36
533.88	308.34
564.50	282.61
522.45	348.18
516.68	309.71
469.00	324.67
496.75	369.21
515.15	306.95
522.15	292.98
514.20	307.71
514.84	306.07
506.94	362.01
504.93	392.49
447.10	316.07
478.75	363.93
487.04	391.78
443.00	318.83
444.87	324.79
497.63	310.14
497.54	315.54
487.50	369.19
485.38	395.73
525.15	326.12
497.97	374.61
428.30	319.45
459.30	369.03
481.00	312.71
468.60	368.94
419.09	333.29
451.23	378.09
456.88	404.55
462.30	417.23
466.62	427.58
468.99	430.40
469.49	431.48
468.85	429.95
466.66	432.07
465.36	433.33
462.37	436.02
457.42	436.09
452.84	433.87
447.74	432.17
440.59	427.41
436.78	426.27
432.27	428.95
431.88	432.57
432.51	435.07
429.13	432.68
427.67	435.93
421.63	437.73
420.60	441.37
419.49	444.82
415.10	448.37
413.12	450.44
414.18	452.85
410.92	456.63
406.57	458.73
347.78	387.30
382.28	427.45
391.68	455.02
404.24	386.67
391.76	434.67
388.65	462.05
388.80	477.98
324.43	402.88
390.33	374.25
387.36	379.79
386.06	376.05
370.23	436.30
382.72	381.38
375.44	439.00
380.26	383.18
384.87	380.17
363.92	442.50
371.25	478.92
348.76	410.80
355.31	422.27
373.21	469.08
324.27	430.89
360.75	473.11
397.00	399.03
381.24	458.16
387.50	490.66
388.34	507.64
390.50	514.56
394.40	518.79
395.12	520.71
390.68	519.06
386.59	519.98
385.30	521.34
385.71	520.58
386.54	522.90
387.34	523.71
383.33	525.82
386.36	523.94
386.72	529.18
