Object Tracking Data File Wed, Jan 15, 2020 10:29 AM
X (pixels)  	Y (pixels)  
253.92	489.85
256.64	485.32
248.52	485.47
248.40	492.38
236.36	455.36
245.87	486.37
251.02	488.64
239.04	460.75
252.92	489.09
246.36	497.14
248.81	498.75
244.71	493.47
246.21	493.83
246.57	491.07
240.42	496.26
220.29	476.04
218.58	473.99
239.31	508.71
232.93	503.75
228.87	502.46
228.18	504.68
221.14	473.21
218.18	470.50
228.26	506.54
221.02	506.44
213.24	475.12
211.19	474.16
207.16	473.04
213.94	505.82
213.92	499.86
211.83	502.83
212.75	490.73
212.05	485.16
210.91	495.00
207.93	491.56
207.84	496.45
203.00	494.94
199.29	494.11
199.42	490.00
190.26	451.67
191.70	487.68
194.64	489.95
191.52	491.45
180.89	456.67
191.38	488.19
185.70	450.28
196.31	483.75
192.59	449.71
196.14	454.69
199.63	485.51
202.77	491.33
202.24	483.80
192.69	476.22
188.63	478.61
187.74	476.25
194.92	473.40
193.50	473.43
190.56	472.86
192.25	475.42
197.09	473.88
195.05	476.52
194.08	476.33
193.51	477.63
202.41	483.37
200.90	484.53
202.66	490.12
202.33	496.63
200.28	490.99
193.30	490.85
190.89	486.06
187.62	485.52
184.27	485.72
184.40	478.45
180.05	486.88
182.25	484.01
174.93	486.22
177.32	487.32
170.32	488.31
165.43	493.45
166.46	495.58
167.98	492.44
164.02	495.12
164.73	496.76
165.80	493.92
163.76	494.36
163.96	497.71
152.26	495.18
150.19	490.07
149.58	486.60
150.39	486.36
147.27	491.83
148.92	494.40
144.21	498.23
139.72	503.69
135.92	506.45
137.55	511.79
133.90	511.58
136.31	511.64
130.07	511.39
133.71	509.02
140.31	506.85
127.10	508.99
121.49	505.03
121.31	505.66
117.76	506.54
119.90	508.98
121.29	505.31
121.13	502.51
122.65	507.55
123.50	504.19
122.92	507.04
119.52	508.70
110.98	516.17
109.62	515.23
110.60	511.98
100.35	508.04
98.18	510.62
96.01	508.93
96.45	504.37
93.60	500.63
