Object Tracking Data File Wed, Jan 15, 2020 11:11 AM
X (pixels)  	Y (pixels)  
660.99	447.19
663.00	448.09
660.54	449.20
656.08	451.38
648.87	447.56
643.36	449.48
644.90	452.56
645.31	457.27
645.61	454.90
642.06	453.31
639.57	454.96
636.05	457.36
636.30	460.76
637.37	464.27
638.13	466.98
639.13	467.25
639.11	462.47
635.75	460.98
636.69	458.21
631.85	456.77
631.12	457.81
628.66	461.31
631.24	463.14
630.57	466.77
631.34	469.37
626.05	466.59
622.72	463.66
617.56	467.96
618.53	469.64
620.62	467.52
618.06	472.52
615.73	474.90
616.20	475.81
614.99	483.76
621.41	482.66
623.31	481.84
621.01	484.47
620.35	482.63
554.17	407.41
587.16	446.96
600.68	468.27
609.25	475.05
610.47	474.58
545.45	397.45
562.78	390.64
578.86	434.05
583.40	454.54
584.49	463.24
580.15	466.54
515.52	395.22
546.23	435.14
533.71	394.41
559.49	443.33
564.29	473.90
525.45	402.79
540.27	446.80
542.73	473.48
542.95	477.91
480.49	405.24
480.53	403.84
460.35	396.00
469.31	399.41
500.29	440.64
515.19	390.04
512.95	443.36
513.21	472.70
514.55	488.63
513.35	496.55
510.09	492.15
505.03	492.47
498.69	493.99
494.01	494.48
489.87	492.91
487.71	496.12
487.14	492.07
487.24	491.22
489.88	488.45
488.98	482.00
490.52	478.53
486.52	479.87
482.80	480.54
479.96	477.99
476.69	475.85
476.28	476.05
474.37	476.47
471.11	478.77
470.39	477.98
471.12	482.02
467.38	486.42
464.60	489.89
462.40	491.67
457.58	490.97
455.97	488.07
455.91	489.12
456.58	487.72
459.17	483.80
458.28	484.59
463.45	485.37
464.73	483.40
464.35	482.31
463.19	486.70
464.65	485.53
465.89	489.33
464.14	491.47
463.91	491.66
462.70	494.70
463.21	497.90
460.43	501.04
459.29	502.00
456.82	501.57
451.56	501.81
448.22	501.56
448.23	501.55
449.49	503.55
452.57	501.82
455.57	503.61
456.16	502.62
454.92	499.08
454.24	498.00
453.90	495.16
