Object Tracking Data File Wed, Jan 15, 2020 11:06 AM
X (pixels)  	Y (pixels)  
225.97	388.86
228.58	384.74
195.15	355.43
223.25	397.43
226.45	411.80
237.20	410.38
242.92	403.00
244.77	398.27
249.50	383.13
248.01	375.81
256.56	374.16
269.21	366.68
260.68	298.49
259.34	297.43
262.03	298.14
262.81	289.85
265.96	290.59
260.95	291.25
263.51	288.65
274.27	291.68
275.82	294.21
278.44	278.45
288.01	282.09
285.25	269.41
293.46	261.09
303.98	266.69
302.37	259.04
302.59	254.55
303.05	255.40
315.92	247.83
322.22	246.82
317.37	246.10
340.56	304.49
340.34	336.98
349.70	352.62
355.42	359.27
363.35	364.47
371.73	365.57
369.44	370.47
372.37	378.28
370.96	384.09
379.70	388.17
379.58	385.16
388.48	390.06
392.04	385.62
398.26	392.21
400.63	391.13
406.98	397.95
411.22	337.03
415.63	341.91
417.75	343.41
424.22	390.02
428.48	409.46
428.99	415.06
435.73	341.59
426.13	311.52
440.28	375.22
448.39	411.96
449.85	352.32
426.46	323.12
446.97	354.77
450.97	407.46
451.09	365.48
451.68	372.44
456.78	381.08
458.34	437.00
461.40	401.83
462.79	455.61
457.77	418.51
464.52	471.27
466.83	433.16
470.30	440.77
474.59	452.46
478.54	459.49
486.45	507.93
489.37	462.25
490.26	466.03
492.79	522.81
494.13	475.51
502.46	477.42
493.10	530.84
508.49	474.75
511.51	479.70
512.54	496.20
523.58	495.05
525.38	495.93
543.37	551.46
534.73	576.62
541.54	589.08
538.64	528.85
540.07	532.28
536.72	536.28
543.14	595.01
544.06	631.96
535.04	562.76
548.84	616.22
534.82	649.15
550.69	622.17
548.58	618.00
551.29	625.24
554.60	625.20
562.36	625.78
563.28	632.82
564.34	664.81
563.21	634.01
561.32	634.00
563.22	595.51
572.27	604.33
575.82	655.08
576.91	646.31
581.28	646.47
584.72	685.26
581.57	687.97
577.86	657.97
574.08	620.62
569.38	630.77
564.95	636.24
556.29	640.52
561.15	684.53
554.70	683.61
