Object Tracking Data File Wed, Jan 15, 2020 11:16 AM
X (pixels)  	Y (pixels)  
593.85	397.11
594.56	397.14
596.14	400.05
597.11	401.71
595.91	404.60
594.98	405.18
594.69	404.27
594.47	404.39
592.70	404.91
590.32	407.07
587.63	409.66
585.01	412.89
580.14	417.03
577.49	420.85
577.82	422.81
577.68	422.95
575.62	423.62
575.01	423.91
572.98	425.89
570.55	428.37
567.40	431.49
564.66	431.81
563.34	431.09
563.28	431.17
564.02	431.76
563.80	432.17
565.18	433.49
567.44	429.30
567.36	425.41
564.51	421.51
560.68	419.19
560.15	415.49
560.60	410.97
561.22	408.36
561.01	406.78
558.69	402.26
553.99	400.03
552.22	397.93
553.00	397.69
554.52	396.80
554.02	392.44
552.94	393.72
551.12	396.42
549.60	397.35
548.50	394.57
546.47	393.97
547.16	395.14
550.72	392.72
551.15	393.84
551.85	391.62
550.06	390.04
550.34	390.08
551.39	389.27
551.97	389.06
553.14	391.29
552.97	389.77
552.73	389.40
550.30	389.54
549.26	391.65
547.84	392.45
544.18	392.57
540.90	396.32
540.91	397.24
542.29	399.90
543.98	401.40
544.48	401.08
542.80	399.58
474.68	326.51
504.91	368.55
517.31	386.74
525.08	390.28
530.02	392.27
531.34	394.24
532.48	393.36
532.81	393.90
532.00	393.72
532.33	393.48
532.69	392.91
532.55	391.90
528.94	390.99
529.78	389.90
526.49	389.72
527.98	386.62
529.61	383.53
530.52	379.41
529.45	378.39
529.97	374.63
528.97	373.80
527.70	374.20
527.25	372.97
524.49	373.65
521.65	373.02
520.82	372.18
520.51	370.67
519.33	370.55
518.80	369.79
518.63	368.92
517.60	369.40
517.99	367.84
517.82	367.39
517.30	368.12
515.85	368.40
515.37	368.80
511.43	372.45
508.77	374.70
507.11	378.02
506.40	380.05
506.08	381.89
505.75	384.14
432.58	308.08
503.93	237.08
558.52	244.57
559.61	241.11
553.53	243.36
600.11	205.79
602.92	202.08
596.60	210.06
580.56	196.78
579.45	202.14
591.56	251.30
