Object Tracking Data File Wed, Jan 15, 2020 11:26 AM
X (pixels)  	Y (pixels)  
1063.85	405.90
1062.92	405.24
1061.48	404.33
1059.93	403.80
1058.80	403.57
1057.51	403.83
1057.11	403.77
1056.26	404.01
1055.22	403.95
1054.63	403.89
1054.59	404.03
1054.36	404.17
1053.76	404.15
1053.38	404.06
1052.46	403.95
1051.44	404.07
1050.94	404.54
1051.03	405.00
1050.89	405.26
1050.96	405.13
1050.55	405.16
1050.77	405.48
1051.73	405.53
1051.84	406.66
1051.71	406.90
1052.06	406.93
1051.74	407.03
1052.05	406.65
1051.53	406.91
1051.61	407.01
1051.68	406.92
1051.70	406.84
1051.83	406.73
1051.52	407.12
1051.78	407.24
1051.85	407.10
1051.71	406.99
1052.04	407.13
1052.09	407.18
1052.15	407.00
1052.01	407.55
1051.98	408.41
1052.17	408.04
1051.93	408.13
1052.05	408.08
1051.74	407.76
1052.00	408.23
1051.84	407.88
1051.90	408.32
1051.42	407.98
1051.43	408.38
1051.30	408.39
1050.94	408.37
1051.05	408.44
1050.80	408.20
1050.82	408.46
1050.99	408.29
1050.74	408.06
1051.03	408.27
1050.54	408.06
1050.82	407.94
1051.07	408.79
1051.03	409.03
1051.01	409.20
1050.88	409.28
1050.93	409.11
1051.06	408.87
1050.87	409.44
1050.64	409.13
1050.69	409.00
1050.78	408.92
984.90	334.37
1034.74	273.62
1054.61	275.00
1054.85	276.82
1055.12	274.36
1054.61	273.21
1054.94	277.65
1053.63	277.92
1051.85	275.45
1051.31	275.79
1050.08	325.28
1057.78	278.02
1055.28	273.48
1056.30	276.69
1060.10	278.17
1052.22	276.17
1052.41	276.78
1052.88	277.40
1053.06	327.55
1054.01	354.54
1057.25	279.56
1053.50	277.44
1055.95	273.73
1055.30	275.52
1052.10	324.97
1056.45	276.94
1052.91	275.88
1055.27	275.36
1055.76	274.45
1051.35	324.36
1056.31	277.33
1052.56	276.24
1056.79	274.73
1053.61	277.35
1057.07	275.37
1055.44	275.86
1059.46	277.58
1036.64	277.77
1056.72	276.63
1052.45	276.13
1052.80	275.85
1055.85	277.60
1056.16	275.48
1058.73	280.68
1054.51	276.22
1062.73	283.38
1055.26	276.16
980.45	289.66
1056.74	279.00
